name,price,bidCount,endDate,permalink
"therightsofnature.org",16000,68,"2022-10-15T16:00:00.000Z","https://www.namecheap.com/market/sale/k1TP3FSX9CVm4Kah1scb8G/"
"webfunnels.com",600,58,"2022-10-19T16:00:00.000Z","https://www.namecheap.com/market/sale/jRiUiyLwVbaLu6uVLcsJsM/"
"celebrilla.com",165,43,"2022-10-24T16:00:00.000Z","https://www.namecheap.com/market/sale/pFHw3a6nd7jZA5aDVFeE1d/"
"freegameway.com",155,40,"2022-10-17T16:00:00.000Z","https://www.namecheap.com/market/sale/1u4cwA3Tt2ND32oJ2CtHn2/"
"minimalstudent.com",66,39,"2022-10-18T16:00:00.000Z","https://www.namecheap.com/market/sale/2486D1hSuKoun621a1ueC6/"
"techburst.io",250,39,"2022-10-23T16:00:00.000Z","https://www.namecheap.com/market/sale/5Avj5uVSuxuJAzUW4miiNm/"
"revolthemes.net",565,37,"2022-10-23T16:00:00.000Z","https://www.namecheap.com/market/sale/u8LKtRyYv3wg5oXpNCSBR4/"
"greenvisa.io",50,35,"2022-10-19T16:00:00.000Z","https://www.namecheap.com/market/sale/rMste4t84rjejoat4Lxifc/"
"cmgames.io",355,34,"2022-10-21T16:00:00.000Z","https://www.namecheap.com/market/sale/98ZwgDS7GZsRwRGX6ZM9Tf/"
"hus.sh",205,32,"2022-10-16T16:00:00.000Z","https://www.namecheap.com/market/sale/nf6Cgn2DyvYb4dXS3ALmhz/"
"y.p",354,32,"2022-10-28T16:00:00.000Z","https://www.namecheap.com/market/sale/cdj7BNgpEhaU6dxo5dy43o/"
"listnetworth.com",51,31,"2022-10-15T16:00:00.000Z","https://www.namecheap.com/market/sale/r6XsZoktre5gQGXEpg1Ki7/"
"metaverse.sh",1136,31,"2022-10-19T16:00:00.000Z","https://www.namecheap.com/market/sale/mWVYyo4PG1fArD6A7dxvoX/"
"colorfulconsole.com",41,28,"2022-10-15T16:00:00.000Z","https://www.namecheap.com/market/sale/oz2fKh4iWVMcs788oZWyGm/"
"cwhonors.org",110,28,"2022-10-26T16:00:00.000Z","https://www.namecheap.com/market/sale/tABL4LVShYr3kizb7Uzfkb/"
"dev.link",338,26,"2022-10-23T16:00:00.000Z","https://www.namecheap.com/market/sale/wk7SbuFg48xAMnE6xsrFTS/"
"speakerscorner.me",135,26,"2022-10-18T16:00:00.000Z","https://www.namecheap.com/market/sale/94XWFdxNQfG8LG7jzdDZuQ/"
"rawrrr.com",51,24,"2022-10-17T16:00:00.000Z","https://www.namecheap.com/market/sale/o3bxPNo4ZUgFsWeQasgfGU/"
"codeverge.com",355,24,"2022-10-23T16:00:00.000Z","https://www.namecheap.com/market/sale/nJCx144zPaGfZuRL2xvJcX/"
"streetviewexplore.com",41,24,"2022-10-18T16:00:00.000Z","https://www.namecheap.com/market/sale/9JahbJSUZjkivhjhKeSGfd/"
"ptraveler.com",37,23,"2022-10-28T16:00:00.000Z","https://www.namecheap.com/market/sale/f7NZVT4RrjGrCkathEnxjv/"
"betpasbetpas.com",205,23,"2022-10-16T16:00:00.000Z","https://www.namecheap.com/market/sale/aBkWWhbPoGEwi2ctFoT2bj/"
"4u.agency",78,22,"2022-10-15T16:00:00.000Z","https://www.namecheap.com/market/sale/jD3kWUTLw67wehi2w68rNh/"
"pathfinda.com",63,21,"2022-10-16T16:00:00.000Z","https://www.namecheap.com/market/sale/3ZjZXH3NuW5pRwb3E7yd9c/"
"theradioboard.com",42,19,"2022-10-16T16:00:00.000Z","https://www.namecheap.com/market/sale/xr7MnRof4gbh7GmQPdTCDC/"
